Mes,ACPM,AGUA,BAGAZO,BIOGAS,CARBON,COMBUSTOLEO,CRUDO,GAS,GAS NI,JET-A1,RAD SOLAR,VIENTO
2022-01,0.01,76.28,1.38,0.01,11.01,0.0,0.0,10.61,0.04,0.0,0.6,0.07
2022-02,0.0,74.38,1.38,0.0,11.65,0.02,0.0,11.95,0.0,0.0,0.54,0.07
2022-03,0.0,83.42,1.05,0.0,3.06,0.05,0.0,11.8,0.0,0.0,0.54,0.08
2022-04,0.0,84.8,0.88,0.01,2.64,0.1,0.0,10.99,0.0,0.0,0.52,0.06
2022-05,0.03,85.41,0.57,0.01,2.13,0.09,0.0,11.14,0.09,0.0,0.48,0.05
2022-06,0.01,85.13,0.81,0.01,2.17,0.06,0.0,11.26,0.0,0.0,0.49,0.07
2022-07,0.0,84.16,0.99,0.0,1.47,0.11,0.0,12.29,0.24,0.0,0.61,0.12
2022-08,0.0,85.76,1.05,0.01,1.45,0.02,0.0,10.8,0.06,0.0,0.71,0.13
2022-09,0.0,85.3,1.1,0.01,2.33,0.05,0.0,10.26,0.11,0.0,0.78,0.07
2022-10,0.0,87.78,1.01,0.01,2.09,0.01,0.0,8.22,0.0,0.0,0.79,0.08
2022-11,0.0,87.63,0.76,0.01,1.58,0.0,0.0,9.17,0.0,0.0,0.75,0.1
2022-12,0.06,82.71,1.09,0.0,6.24,0.04,0.0,8.45,0.16,0.0,0.99,0.25
2023-01,0.0,83.65,1.05,0.01,5.43,0.03,0.01,8.55,0.0,0.0,0.98,0.29
2023-02,0.07,77.69,1.31,0.01,8.92,0.04,0.02,10.2,0.32,0.0,1.1,0.33
2023-03,0.05,84.63,1.16,0.01,3.62,0.04,0.0,9.13,0.0,0.0,1.03,0.34
2023-04,0.02,87.14,0.9,0.01,2.7,0.05,0.0,7.74,0.02,0.0,1.12,0.29
2023-05,0.0,76.53,0.41,0.01,9.98,0.06,0.02,11.21,0.44,0.0,1.07,0.27
2023-06,0.03,77.97,0.93,0.01,7.91,0.04,0.01,10.34,1.24,0.0,1.28,0.25
2023-07,0.0,73.94,1.19,0.01,11.5,0.05,0.0,11.38,0.1,0.0,1.47,0.36
2023-08,0.03,74.28,1.2,0.01,10.64,0.22,0.02,10.1,1.71,0.0,1.58,0.23
2023-09,0.03,63.05,1.15,0.01,12.56,0.13,0.14,10.3,10.71,0.0,1.69,0.24
2023-10,2.06,60.0,1.03,0.01,12.35,0.0,0.17,11.38,11.12,0.0,1.8,0.08
2023-11,2.17,73.34,0.7,0.01,8.35,0.27,0.3,8.09,4.57,0.0,2.04,0.16
2023-12,1.31,60.91,1.14,0.01,12.43,0.21,0.0,6.69,14.47,0.0,2.61,0.23
